id,Emotion,Sentence
18,Enjoyment,"mấy máy 10-15tr dùng vài năm có bị chậm, khựng không anh em?"
19,Enjoyment,K thấy nhắc tới Poco nhỉ trong khi Poco trong khi phân khúc từ 7-15tr Poco làm tốt và có khi nhỉnh hơn Redmi và Oppo luôn ấy chứ
20,Enjoyment,năng lượng vui vẻ năng động đấy 2 người cứ giữ vibe này thêm tầm chục video nx là ok
21,Enjoyment,Nên chọn 15T hay 14T pro nhỉ
22,Enjoyment,Quên con honor 400 pro rồi
23,Enjoyment,Tâm giá 10 15 thì edge 70 mới ra vẫn đáng tiền nhất
24,Enjoyment,11tr s25fe new hay ráng 16tr mua s24+ new nhỉ
25,Enjoyment,"Dùng Xiaomi,Oppo và mua 1 cái ss cùng tầm giá thì màn nó đẹo hơn thật,chỉ là hơi thô hơn thôi"
26,Enjoyment,"Xiaomi 15 512 shopee bán 14,5tr mà k cho vào à :))"
27,Enjoyment,A06 5g giá 2 triêu
28,Enjoyment,mua máy chính hãng = sai lầm tuổi trẻ :))) dc thì quất cao cấp còn dưới 10 củ xách tay là ngon nhất 😂
29,Enjoyment,Bốc con a56 6tr1 thấy ổn áp phết
30,Enjoyment,"6tr thì săn sale sàn S con A56 best P/P luôn. Mình mua 1 con tặng cha, xài ngon!"
31,Enjoyment,mn ơi mình định mua k70pro cũ nhưng mà sạc 700 lần r nhìn cũng mới thì giá bao nhiêu là hợp lý v
32,Enjoyment,"con find x9 giờ mn mua loay hoay 18-19 củ thì nó bố phân khúc dưới 20, trên 20 ra tgdd không trừ quà à:)))"
33,Enjoyment,Mới lấy con a56 chính hãng 8.128 shope có 6.3. Nhiều máy ngon hơn nhưng bố lại chỉ thích ss
34,Enjoyment,Con Motorola edge 60 fusion canh tgdd sale 6m6 thôi.tôi đu đỉnh 7890k :))))
35,Enjoyment,Tầm trung lại thấy Sam ngon hơn mấy con Tàu thật
36,Surprise,Máy xách t-
37,Fear,Mấy dòng ít tiền cam chống mù thôi hay do thời lượng video ít nên ko thấy nói nhỉ
38,Enjoyment,không game nặng tôi dám khẳng định máy mới tầm 3tr con tecno 40 pro này ngon nhất ae nhé
39,Enjoyment,Mấy cái giá rẻ này thông số chỉ lòe thôi
40,Enjoyment,"Còn máy nào tầm 3-4 triệu có tính năng cảm ứng như techno spark 40 pro không ad và mọi người , tks"
41,Enjoyment,Đt j méo thấy ai xài cũng quốc dân😂😂😂
42,Sadness,Giao hơi lâu
43,Enjoyment,"Góp ý với kênh là trong những clip kiểu ""liệt kê"" như thế này thì khi đang nói về chiếc nào, hãy ghi tên nó lên màn hình."
44,Enjoyment,Tôi lại mong lg quay lại mảng này vì thiết kế của họ rất đẹp từng là số1
45,Enjoyment,"Giờ thì mình không tin vào Tecno nữa .
Tecno spark go 2  loa kép đúng là âm lượng lớn thật nhưng mà có dùng được đâu? Xem Youtube nếu mở>50% thì lập tức nó lạng ngay. Đang xem video này nó nhảy qua video khác và tiếp tục nhảy không ngừng, lại còn tự động bật phụ đề Tiếng Việt nữa mới ghê.😂
Lỡ rồi, đành để em nó làm cục phát wifi cho khỏi bực mình."
46,Disgust,Mua  tecno về rồi hỏng ko có linh kiện thay ! Xác định hỏng thì vứt
47,Enjoyment,Dòng Samsung A mà màn nhỏ hơn thì mình cũng thấy ok đó
48,Enjoyment,mấy bn oi tecno camon 30s máy chụp anh ngon không nên mua vào cuối năm nay không
49,Enjoyment,Anh nam ơi bây giờ iPhone 13 còn nguyên seal 100% không nhỉ
50,Disgust,Áp dụng youtube shopping kiểu gì. Đường dẫn link toàn cho vào shoppe đắt hơn nhiều
51,Enjoyment,Cứ có tiền thì mua gì sai cũng thành đúng
52,Disgust,"Poco M7pro sao Nam ơi, liệu còn đáng mua thời điểm hiện tại không.?"
53,Enjoyment,"New thì con này ok nhất r. Toàn diện đồng đều. Nhưng ae công nghệ sẽ chọn flaship cũ tầm giá này kk
Tôi thích mi10s tầm này nhất😂"
54,Enjoyment,anh nam ơi kênh bên kia nói techno spark go 2 là loa đơn và chip thua con g81 làm em đag đặt hàng nghe xog hãi quá muốn hủy đơn luôn.giờ kb họ noi co đúng ko.
55,Enjoyment,mong lần sau tecno làm 1 con tương tự như này nâng lên pin 7k bán 5tr thì mua ngay
56,Disgust,thiếu poco x7 pro là sai lầm :v
57,Enjoyment,Nhờ b mua hộ dt dc ko a
58,Enjoyment,Ram 12GB mới ổn chuẩn bộ nhớ mới nữa 😂
59,Enjoyment,Chúc anh nam vui vẻ nha
60,Enjoyment,Tặng em iPhone 13 Promax Sài nha anh nam
61,Enjoyment,không đủ tiền mua a56 mua a36 được không ad nhỉ
62,Disgust,Nói giá rất ngon kích vào ko phải.rất hay.ít người biết đến giá này
63,Enjoyment,con techno kia như kiểu độ chỉ số ấy nhỉ g100 gánh màn 120 lại còn màn 1.5k (chắc có phần cứng nào độ lên) nghe nó hơi bất khả thi dùng lâu chắc phải chuyển từ 120 xuống 60 mới mượt mình nghĩ vậy wifi nhiều lúc ngáo nữa
64,Enjoyment,note 14 hyper os thực sự lag ae à phải lên chip mạnh mạnh hơn thì đỡ
65,Fear,"xem video a nhiều,100% video đều nhắc đến giá trên ytshopping thật sự thì giá này mấy ai tiếp cận được đâu."
66,Enjoyment,Tham khảo tại Điện Thoại Hay : https://dienthoaihay.vn/oneplus/oneplus-15-p993.html
67,Enjoyment,oneplus 15 cài rom quốc tế xong khoá lại vừa đc cập nhật OTA quá bá
68,Enjoyment,Em có 10 triệu muốn mua đt ko quan tâm pin lắm chỉ cần camera ok tí và chơi game ổn định tại game em chơi không nặng lắm hiện tại em đag khá ưng mi 15 có con nào nổi bật hơn mi15 ko ạ
69,Enjoyment,Tầm giá 15 thì có nên mua honor win ko a
70,Enjoyment,10-15 mà muốn toàn diện thì chỉ có nội địa trung
71,Enjoyment,Thêm 1 củ mua OPPO find X9 chính hãng không ngon hơn à ?
72,Enjoyment,"Anh tư vấn giúp em con máy tầm trên dưới 15tr màn to đẹp pin , cam ổn chip khoẻ và có thể dùng mượt mà trong nhiều năm"
73,Fear,"ngân sách 13tr giờ còn nên mua honor magic 7 pro không anh. nhu cầu chơi liên quân trong 3,4 năm ạ"
74,Enjoyment,"Find X9 thấy bên Pap Công Nghệ test hiệu năng rất tệ nhá chú Dương, kể cả dòng X300 hay chip 9500 nói chung"
75,Enjoyment,Con 16e lỏ cứ thích nhỉ. Màn tai thỏ đã k thích rồi. Còn k có magsafe nữa 😂
76,Enjoyment,"Cho em hỏi từ 10-13tr có máy nào pin trâu, màn to làm máy chính ổn không ạ. Nhu cầu của em chủ yếu dùng zalo, youtube, tiktok ạ."
77,Enjoyment,Thế quái nào mk dùng op15 đang dùng oxygen os16 mà có bị khóa ngân hàng đâu
78,Enjoyment,Anh dương oneplus 15 có rom quốc tế với lock bootloader đc. Anh nghiên cứu thử xem❤
79,Enjoyment,"Mn cho mình hỏi điện thoại xách tay có con nào ko bị chậm thông báo ko, thích con oppo find 9 pro quá mà ko dám mua."
80,Enjoyment,cố lên tý lấy Find X9 pro ngon luôn
81,Enjoyment,"Tài chính dưới 20 củ,nhu cầu chơi game ở mức cơ bản pin trâu hệ điều hành ngon cam đẹp thì nên mua con nào ạ"
82,Fear,"K nên mua đt nội địa hay sách tay nữa nhé mn. Nhà nước ngày càng ban hành quy định quản lý gắt gao, đừng ham rẻ mà đánh đổi nhiều hệ lụy."
83,Enjoyment,anh Dương ơi tư vấn giúp em có con máy nào ngon nhất tầm giá dưới 10tr mà có chip mạnh ạ. Nhu cầu của e là máy phụ để chơi game không quan trọng những cái khác ạ.
84,Enjoyment,Bây giờ Oppo Reno14 5g có ổn không vậy mn
85,Fear,"A Dương ơi cho e hỏi ở mức giá hiện tại có nên mua ip 16prm k hay cùng mức giá đấy nên mua đt khác ạ? E k qtrg ios hay android, nhu cầu của e muốn dùng lâu dài, chụp ảnh quay phim đẹp ạ. Chúc a và ekip một năm mới nhiều sức khỏe để lên thật nhiều video hữu ích cho ae."
86,Fear,"Cho e hỏi Xiaomi poco pad m 1 có đáng mua không ạ?e chỉ xem youtube vs nghe nhạc(không quan trọng chơi game) mong a tư vấn giúp e, e cám ơn 😍"
87,Enjoyment,Anh ơi 10.000.000đ thì mua điện thoại gì.em chúc anh và gia đình nhiều sức khỏe
88,Enjoyment,tầm 13tr thì nên mua ip14pro hay 15 thường ah ạ e xài lâu dài và phục vụ học tập có chơi game nhẹ em mua máy cũ anh ạ
89,Enjoyment,"Cho em hỏi tầm giá 8 triệu thì mua oppo hay xiaomi ạ, tư vấn giúp em điện thoại nhé"
90,Fear,Tầm 9tr thì nên chọn tầm trung hay cao cấp sam sung đời cũ v a ? Mong anh tư vấn ...
91,Disgust,"Xin tư vấn máy chính hãng 10-15tr, ưu tiên chụp ảnh với anh em."
92,Disgust,"Mọi người ơi cho e hỏi vivo x200 pro mini dùng ở nước ngoài ổn k ạ ? Sắp tới e đi đức nên k biết mua máy này dùng bên đó ok k , kiểu sim sóng thông báo các thứ"
93,Enjoyment,Cho e hỏi tài chính tầm 7-8tr thì nên mua máy nào a ngon a. Nhu cầu e là xem phim lướt mạng và chơi liên quân thôi ạ. Mong a tư vấn
94,Enjoyment,Mong anh so sánh ip17e và ip16. Chúc anh nhiều sức khoẻ
95,Enjoyment,10-15tr có slot nào cho honor 400 k ạ
96,Enjoyment,Chú dương có thể so sánh chi tiết giúp em giữa huawei band 11 Pro dây vải nylon dệt với xiaomi band 11 viền gốm và về phần dây đeo theo thời gian sử dụng độ bền như thế nào 2 con đang bằng giá nhau em đang phân vân không biết mua con nào hết cả em nhờ chú dương tư vấn dùm mong được lên sóng
97,Enjoyment,"Chào anh Dương, dưới 30tr chọn làm máy chính 4 năm, chán iPhone thì có con máy nào bền ko a, samsung dòng S ultra giờ có hiện tượng sọc màn k"
98,Enjoyment,"A Dương ơi, tư vấn giúp e một con đt android cũ tầm giá 15tr với ạ ( một con đt thường, một con gập ). Chụp ảnh đẹp, tác vụ cơ bản mượt mà. Chúc a và gia đình nhiều sức khỏe."
99,Fear,"Nhờ anh Dương giúp đỡ. Vì em đang thích dòng Zfold của Samsung. Em thì chỉ cần dùng pin khỏe và chủ yếu lướt mạng và chát chít thôi. Nên gần như không quan trọng về cấu hình của Zfold 5,6 hay 7. Em nhờ a tư vấn xem với giá của 3 con này hiện tại thì nên chọn con nào hơn. Em muốn dùng mượt mà trong 5-6 năm. Em cảm ơn anh."
100,Enjoyment,Budget 10 củ có con nào cho phụ huynh lớn tuổi ko bác zương zê 😌 cần màn lớn tầm 6.7 6.9in ạh
101,Enjoyment,Anh ơi tại sao sau khi iqoo z9 cập nhật lên origin os 6 android 16 lại hay quá nhiệt 50 độ ạ
102,Enjoyment,iPhone mua sạc không dây chứ sạc dây đem ra ngoài chỉ. Bất tiện
103,Fear,cho mình hỏi tiền ít mà dùng ipone 12 thường cũ để quay video sản phẩm có được ko xin cảm ơn
104,Fear,"A ơi cho e hỏi ,redmi k60 còn đáng mua ở thời điểm hiện tại ko ạ"
105,Enjoyment,Oneplus 15 có thể unlock cài rom qt rồi lock lại xài ok mà a
106,Fear,"Hiện tại sắp đến ngày 8/3 rồi e muốn tặng mẹ chiếc đt màn đẹp + pin trâu ko quan trọng chip vì mẹ e chỉ xem youtube thôi, e đang phân vân con honor x9d vì máy bền pin trâu nhưng ko biết màn hình có đẹp ko và ngoài con máy đó ra còn máy nào khác nữa ko a mong a tư vấn. Tài chính của e 10tr"
107,Enjoyment,Đang phân vân giữa Oneplus 15 vs Honor Win . Con thì pin 7300 con thì pin 10000 có quạt
108,Enjoyment,"Con chào chú dương ạ, con đang phân vân giữa ip15prm và oneplus 15, nhu cầu chủ yếu là chụp hình nhiều, xem ytb và chơi game nhẹ như liên quân, con cảm ơn chú ạ, chúc chú nhiều sức khỏe"
109,Enjoyment,"anh dương cho em hỏi tầm giá 10tr, máy cũ thì cam con nào đẹp nhất ạ, em đang cân nhắc oppo find x8 pro/ find x7utral. em chỉ ưu tiên camera, tránh phần cứng, phần mềm lỏ quá là được ạ ."
110,Enjoyment,Anh Dương cho em hỏi huawei smart band 11 có kết nối được với ip k ạ và có tiếng việt k ạ
111,Enjoyment,Anh ơi em muốn mua oneplus 15 chính hãng thì ở HN có cơ sở nào bán không ạ?
112,Enjoyment,OnePlus 15 up đc rom quốc tế nhé các bác 😀
113,Fear,"Hi a, iphone 17e ra rồi thì 16e có giảm nữa không ạ, liệu có xuống 11tr không ạ? Cảm ơn a"
114,Disgust,"Chào anh Dương, em đang muốn mua 1 mẫu điện thoại phân khúc flagship cao cấp toàn diện để làm máy chính, chỉ cần hàng quốc tế chính hãng VN hay không đều được và tránh máy hàng nội địa bị chậm thông báo nhiều. Mong anh tư vấn giúp. Chúc anh sức khỏe."
115,Enjoyment,"chào chú dương, chúc chú nhiều sk ạ!
cháu xin tư vấn đth nhu cầu như sau
cháu muốn mua iphone trong tầm giá tầm 14 triệu đang phân vân iphone 16e new, iphone 15 new và iphone 14 pro cũ
nhu cầu: máy dùng lâu dài trên 5-6 năm tác vụ cơ bản mxh, chat, xem phim nhiều, chuyển khoản, ít khi chơi game, ko quan trọng pin nhưng xài mượt ko lag. chụp ảnh đẹp nhưng ko cần góc siêu rộng, chân dung 1x 2x là đủ, zoom xa thì ít xài chỉ cần ko bị noise nhiều là oke (đang dùng 11 prm zoom khá ổn), lâu lâu có quay concert nhưng cũng chỉ cần ko bị noise nhiều, còn lại ko quay video. với lại cháu là người cũng thích công nghệ nên cũng khá muốn trải nghiệm các tính năng AI. 120hz cũng tiếc nhưng cháu ko chơii game nên hi sinh cũng dc và cũng tiếc dynamic island nữa :'). hiện tại cả 3 máy đều đáp ứng tốt tác vụ cơ bản trên của cháu
hay là cố lên 15 plus ạ, cháu không thích pro max vì cầm khá cấn và nặng (đang xài 11 pro max thấy hơi khó chịu cầm nắm mà viền vuông chắc k sao, 200g cũng ko nặng), nhưng mà 15 plus cái màn to đánh đổi nhiều thứ quá nên cháu cũng ko muốn lắm. căn bản cả 3 máy đều dùng dc tác vụ cơ bản, nhưng 14 pro nó hơi cũ nữa. cháu cũng muốn xài màn 6.3 hoặc 6.5 của ip air hơn, 6.1 hơi nhỏ (cháu cầm thử rồi) nhưng kinh phí chỉ tới đó nên thôi cũng được.
mongg chú giải đáp"
116,Enjoyment,"tầm 10tr trở xuống thì mua điện thoại chính hãng nào tab vụ mượt mà, không giật lag hay trễ thông báo, chụp hình đẹp anh? e không chơi game chỉ lướt mxh và sử dụng tab vụ bình thường."
117,Enjoyment,"Dạ con chào chú, chúc chú và gia đình nhiều sức khỏe
Con đang dùng Redmi Note 12T pro nhưng hiện tại giật lag khá nhiều, con muốn tìm máy dao động 7-11tr(hiệu năng mạnh) xách tay chính hãng đều đc ạ (nghiêng về OnePlus ace6T,13T và Redmi vì ngoại hình đẹp).
Nhu cầu của con là: học tập, chơi game , xem phim, nghe gọi(thông báo trễ không vấn đề ạ)
Nhờ chú tư vấn giúp con với ạ, con cảm ơn chú!"
118,Enjoyment,"Chào chú Dương Dê, chúc chú và gia đình nhiều sức khỏe, sớm đạt 3 triệu sub ạ!

Cháu đang dùng Galaxy M51, tính đổi sang OPPO Find X9 Series hoặc S25 Ultra. Nhu cầu của cháu là: Xem YouTube nhiều, chụp ảnh đẹp, hệ điều hành mượt và đặc biệt là đi concert 1 lần/năm.
Cháu phân vân:
1. Có nên cố lên Find X9 Pro để lấy camera 200MP đi concert hay khi chụp ảnh thu sáng, ... có tốt hơn không?
2. Cháu sợ S25 Ultra pin không bằng M51 cũ và lỗi sọc màn hình/hở lưng, cũng như không có sạc sẵn.
3. Không biết còn máy nào toàn diện hơn không ạ, cháu cũng có chút thích cam X300 Pro nhưng chỉ mỗi cam thì hơi thiếu, cháu có thể mua mới hoặc cũ ở các cửa hàng lớn như TGDD hay CellphoneS ạ.

Nhờ chú tư vấn giúp cháu lựa chọn toàn diện nhất. Cháu cảm ơn chú!"
119,Fear,Với iphon 16 nó gần như thế nào
120,Enjoyment,"anh ơi em có tài chính tầm  17 tr  mua 14 prm 256 gb cũ hay mua oppo find x9 ạ  nhu  cầu em  sử dụng lâu  dài quay video chụp ảnh   mạng xã hội  em học nhiều ở xưởng   trong 1 đến 2 năm sau đó đi làm  ạ  em không biết chọn điện thoại nào ạ   .
 Chúc anh và gia đinh nhiều sức khỏe ạ"
121,Fear,One plus 15 của e up ROM oxygen os hiện tại dùng ngân hàng bt liệu có bị sao không ạ hay là chưa khoá ngân hàng thôi
122,Enjoyment,Nên mua redmi note15 5g hay samsung a36 nhu cầu sử dụng cơ bản và chụp ảnh ạ
123,Enjoyment,"em chào anh Dương ạ
tài chính 10tr có thể thêm 1 tí thì anh Dương nghĩ nên chọn máy nào ạ
em cảm ơn anh nhiều!"
124,Fear,Anh dương ơi cho em hỏi có con đt nào tầm 1tr2 mà 64 hoặc 128 gb ko anh em là hs ko có nhiều tiền ạ e cảm ơn anh ạ chúc anh đc 3tr sub trong năm nay ạ❤
125,Enjoyment,"cho e hỏi tài chính loanh quanh 10-15tr thì nen mua máy android nào hiệu năng cao,cam ổn chút,dung lượng cao thì càng tuyet vời ạ,chúc ah và gđ năm mới dồi dào,nhiều sk, làm ăn phát đạt!"
126,Fear,Dạ theo ah tài chính 15tr có nên mua oppo reno 15 ko ạ
127,Enjoyment,Không thấy anh dương nhắc đến foco F8 pro
128,Enjoyment,Tham khảo tại Clickbuy : https://clickbuy.com.vn/?utm_source=duongde&utm_medium=ytb&utm_campaign=trangchu
129,Enjoyment,"Em chào anh chúc anh năm mới bình an và dồi dào sức khỏe. Em đang muốn mua 1 con máy android làm máy phụ giá dưới 10 triệu xách tay. Em cần máy có pin trâu, hiệu năng cao nhất và sạc nhanh ạ. Em càm ơn nhiều."
130,Enjoyment,Cho e hỏi mua có phải chuyển tiền trước k a
131,Enjoyment,Anh có link s25 giá tốt k ạ
132,Enjoyment,chào a . a ơi mấy sam sung s24 fe cũ giá 8tr 4 fulbox có đáng mua ko . mong a tư vấn
133,Enjoyment,Làm thế nào để kích vào kênh Dương Dê
134,Fear,"Honor 400 pro săn sale tầm 13.4 triệu, có nên mua ko Anh ? E ko chơi game, chủ yếu chụp hình thôi. Cảm ơn Anh tư vấn"
135,Enjoyment,Tân mua Shoppee giá giảm 40%....…
136,Disgust,"1 lời tiên tri kể rằng sẽ có 1 Goat review điện thoại nào đó thủ thỉ với tôi về 1 con Điện thoại 2-3 triệu, (cần nhất) cấu hình ổn để lướt web đa nhiệm, màn hình lớn, 6/64 - 6/128, NFC, 5G càng tốt, Nô vấn đề tên tuổi...."
137,Enjoyment,"Chào chú hiện tại cháu đang dùng iphone 14 plus 128gb và thường xuyên bị đầy bộ nhớ thì nâng cấp lên iphone 17 pro max 256gb hay iphone 16 pro max , 2 cái này thì cái nào kinh tế hơn ạ , cháu cảm ơn và chúc chú và gia đình nhiều sức khoẻ ạ ❤"
138,Fear,"Mng chi mình hỏi nếu mình mua đt trên shoppe thì tới lúc bảo hành máy thì đem đi đâu ạa,"
139,Disgust,"Anh ơi redmi tubor 4 có thể cài đc ROM global không a, và nếu cài được rồi thì máy có bị làm sao không ạ, mong a giải đáp giúp e ạ, chúc a với gia đình luôn khỏe mạnh."
140,Enjoyment,Ae nào mua qua linh của a dương chưa ạ. Có ổn không ạ.
141,Enjoyment,add điện thoại khác thì ok chứ iphone e ấn k bao giờ có mã 😀
142,Enjoyment,"Đừng ham giá rẻ mua voucher trên YouTube shopping. Quy định của shop không cho đồng kiểm, đặt điện thoại A thì giao điện thoại B, đau đầu nên xóa luôn shopee luôn rồi."
143,Enjoyment,Bạn  ơi  sao mình  bấm mua remind not 15.5g dang ở 5200k ma khi bấm mua nó lại  nhảy sang hon 6tr
144,Disgust,"E chào a. em xin tư vấn về máy loanh quanh 4,5 tới 6 triệu chạy tốt duy trì trong 4 tới 5 năm các vấn đề liên quan đến rom em có  thể khắc phục, em ưu tiên vè hiệu năng là chính ạ,  Chúc anh và gia đình năm mới thuận lợi"
145,Enjoyment,Chào a dương.em muốn mua chiếc dt tầm giá 7tr ko phân biệt chính hãng hay sách tay nhưng phải có tiếng việt ko thiên về chip chỉ cần cam đẹp rum xa pin khỏe là được .chúc a và gia đình thật nhiều sức khỏe
146,Fear,Mọi ng ơi.mua ở shop có yên tâm k ạ ?e định 15t pro mà lăn tăn quá! Thấy nó rẻ hơn viettel.tgdd quá.nên chưa dám mua ?ae tư vấn hộ e mới ạ
147,Enjoyment,ai thèm mua con đó đâu
148,Fear,anh dương ơi cho em hỏi tí là em đang phân vân giữa oppo reno 15 và xiaomi 15t pro em lựa chọn máy nào ạ nhu cầu là em ko chơi game  và em hay edit vd lướt mạng xh đôi lúc ek có chụp ảnh ạ em cần hiệu năng ram rom cần camera đẹp xíu ạ chúc anh và gđ nhiều sức khoẻ ạ
149,Enjoyment,"Chào chú ạ, cháu chưa bao giờ đặt hàng trên yt shoping và vừa rồi  cháu có thấy video về xiaomi 15T với giá giảm sâu cháu muốn mua nhg cháu cũng chưa từng đặt hàng với giá cao như vậy liệu có đúng với hàng chính hãng và giới thiệu ko ạ cháu chưa biết nên nhờ chú TL cháu ạ. Chúc chú và gđ nhiều sk ạ."
150,Enjoyment,"Mình mới mua IPhone Air trên Shopee giá 23.7 triệu đây, rất hài lòng, pin từ sáng đến đêm còn chưa hết, ko tệ như lời đồn 😅"
151,Enjoyment,nói chung là iphone e là thiết kế đáng giá nhất nó cao thì chê giảm giá thì mình mua luôn
152,Fear,Rất là mong ai đó cho ý kiến rằng Poco X7 5G 8/256 giá 4690K có phải là Best Choice rồi không. Hay t đang chưa nhận ra 1 nguyệt quang nào đó pro hơn trong tầm giá đó? 🫥
153,Enjoyment,"Cháu chào chú Dương, cháu đang cần mua 3 chiếc điện thoại android giá lần lượt là 3tr, 4tr, 6tr (toàn diện nhất trong tầm giá, ưu tiên máy chính hãng) mà không biết nên chọn máy nào! Chú tư vấn giúp cháu với ạ! Chúc chú và gia đình thật nhiều sức khoẻ ạ."
154,Enjoyment,Anh dương ơi mua qua ytshoppe có chế độ bảo hành đầy đủ ko a mong a tư vấn ạ chúc a và GĐ nhiều sức khỏe
155,Enjoyment,"Chào chú ạ, cháu đang tìm 1chiếc điện thoại cho mẹ tầm 5-10tr. Yêu cầu: Chụp ảnh nịnh mắt chút, dung lượng 256gb trở lên, bền ạ. Chúc chú và gia đình sức khoẻ, làm ăn phát đạt."
156,Fear,"Mình rất thích xài Android cao cấp, nhưng lại sợ sau vài năm bị hư hỏng ko có linh kiện thay thế. 
Bạn dương có thể tư vấn dùm mình nhé, liệu sau vài năm có linh kiện thay thế cho đt Android ko ạ, cảm ơn bạn nhiều, chúc sức khỏe và hạnh phúc nhé!"
157,Enjoyment,"Quan trọng tài khoản shopee có uy tín k nữa. Note 15 5G m bấm vào còn 4,9tr, 4G còn 3,9tr"
158,Enjoyment,h
159,Enjoyment,Sao cũng click vào đường link mà ko lúc nào thấy find x9 giảm giá 16 17 tr như a dương nói
160,Enjoyment,a có thể gắn giỏ hàng con samsung tab s10 fe được không ạ
161,Enjoyment,Dạo gần đây mới để ý mua đồ công nghệ trên các gian hàng chính hãng nổi tiếng của shoppe giá rẻ hơn nhiều thật. Trc hơi sợ mua đồ đắt tiền trên shoppe nhưng nếu đúng gian hàng các hãng nổi tiếng thì cũng yên tâm.
162,Enjoyment,Em mới mua 17prm không muốn dùng ốp giờ có lên dán ppf k a
163,Enjoyment,Không có cho iPhone hả anh dương chúc anh sức khoẻ
164,Enjoyment,Có nên bán 14T pro mua iPhone 15 pro ko anh dương xin a tư vấn ạ
165,Enjoyment,S25 5g giờ mua mới 14tr5 thì chấp nhận được ko hả anh?
166,Enjoyment,"Em chào anh, em đang định mua đt cho mẹ ngân sách 12-13tr, em đang phân vân các dòng Samsung S25 FE và S24+. Giá hì S24+ hơn nhưng bù lại 512GB, mà hỗ trợ lâu dài ko bằng S25 FE, nhưng S25 FE thì em thấy cấu hình ko bằng. Theo a nên chọn con nào hay có lựa chọn nào tốt hơn k ạ. Em cản ơn anh, chúc anh và GĐ nhiều mạnh khỏe ạ."
167,Disgust,Mua đt cũ a365g còn thời gian bảo hành tại thế giới  di động có an toàn ko a
168,Enjoyment,Máy mới REDMI15 mở hộp đã dán kính cường lực chưa anh ơi
169,Enjoyment,h đố a dương tìm được con iPhone se2016 đấy để review đấy
170,Enjoyment,"Cái 17 air kia mua làm loz gì 17 thường còn ngon hơn ,mỏng mà bóp pin pé tẹo mỏng làm cc gì với giờ đa số xài đt đều bọc ốp ko nó trơn dễ rớt máy vl"
171,Enjoyment,Link chỗ nào anh
172,Enjoyment,Link chỗ nào nhỉ
173,Enjoyment,Bình luận đầu tiên 😅
174,Enjoyment,Giáng sinh này Oneway tung ưu đãi cực KHỦNG với chương trình “MỪNG GIÁNG SINH - RINH SIÊU SALE” giảm giá 120 sản phẩm lên tới 5 triệu đồng: https://onewaymobile.vn/sale-mung-giang-sinh
175,Enjoyment,Oppo reno thì sao    A phân tích nhé
176,Enjoyment,"Thích mấy vid như này,nhưng chỉ có cuối năm mới đc hùng tổng hợp toàn cảnh..kk😂"
177,Enjoyment,"oppo find x9 series màn và loa kém , kênh này review ko chân thực ,"
178,Enjoyment,"Mình chỉ quan tâm về độ mượt & ổn định của phần mềm, tìm mãi mới ra 1 kênh thật sự nói sâu về vấn đề này. Tìm các video khác toàn so sánh camera chứ không cho 1 cái nhìn sâu về phần mềm như những videos kênh của b. Cảm ơn b khá nhiều, mém chốt on ultra 25 khi mà điện thoại trung bây giờ xịn quá =]]"
179,Enjoyment,anh làm oppo k12 plus đi anh thông báo vs hiệu năng thanks
180,Enjoyment,cho em hỏi máy tầm trung chụp ảnh đẹp cho bố mẹ được không ạ
